
Channel,RX (MHz),TX (MHz),System,Band Plan,Purpose,Frequency (MHz),Bandwidth,Satellite Name,Satellite Position,Comments,Modulation,Usage
256,257.25,316.9,UHF military,225-328.6 MHz,Military communications,257.25,,Sicral 2,,,,
257,257.45,305.95,UHF military,225-328.6 MHz,Military communications,257.45,,Skynet 5C,,,,
258,257.6,305.95,UHF military,225-328.6 MHz,Military communications,257.6,,Skynet 5A,,,,
259,257.75,308.4,UHF military,225-328.6 MHz,Military communications,257.75,,Skynet 4C,,,,
260,258.225,299.3,UHF military,225-328.6 MHz,Military communications,258.225,,UFO 2,,,,
261,258.6,294.825,UHF military,225-328.6 MHz,Military communications,258.6,,UFO 11,,,,
262,258.7,312.9,UHF military,225-328.6 MHz,Military communications,258.7,,Skynet 4C,,,,
263,259.05,307.45,UHF military,225-328.6 MHz,Military communications,259.05,,,,,,
264,259.975,309.7,UHF military,225-328.6 MHz,Military communications,259.975,,,,,,
265,260.175,309.875,UHF military,225-328.6 MHz,Military communications,260.175,,Sicral 1B,,,,
266,260.25,314.4,UHF military,225-328.6 MHz,Military communications,260.25,,Sicral 5B,,,,
267,260.375,293.975,UHF military,225-328.6 MHz,Military communications,260.375,,UFO 11,,,,
268,260.45,297.575,UHF military,225-328.6 MHz,Military communications,260.45,,UFO 11,,,,
269,260.5,317.13,UHF military,225-328.6 MHz,Military communications,260.5,,UFO 11,,,,
270,260.55,293.8,UHF military,225-328.6 MHz,Military communications,260.55,,Intelsat 22,,,,
271,260.65,297.1,UHF military,225-328.6 MHz,Military communications,260.65,,,,,,
272,260.9,313.05,UHF military,225-328.6 MHz,Military communications,260.9,,Skynet 5D,,,,
273,260.95,299.4,UHF military,225-328.6 MHz,Military communications,260.95,,UFO 7,,,,
274,261.4,316.55,UHF military,225-328.6 MHz,Military communications,261.4,,Skynet 4C,,,,
275,261.575,295.175,UHF military,225-328.6 MHz,Military communications,261.575,,UFO 11,,,,
276,261.6,306.975,UHF military,225-328.6 MHz,Military communications,261.6,,Intelsat 22,,,,
277,261.625,295.225,UHF military,225-328.6 MHz,Military communications,261.625,,UFO 10,,,,
278,261.65,309.65,UHF military,225-328.6 MHz,Military communications,261.65,,Intelsat 22,,,,
279,261.675,295.275,UHF military,225-328.6 MHz,Military communications,261.675,,UFO 11,,,,
280,261.7,296.525,UHF military,225-328.6 MHz,Military communications,261.7,,UFO 11,,,,
281,261.725,307.075,UHF military,225-328.6 MHz,Military communications,261.725,,UFO 10,,,,
282,261.775,307.075,UHF military,225-328.6 MHz,Military communications,261.775,,UFO 11,,,,
283,261.825,295.425,UHF military,225-328.6 MHz,Military communications,261.825,,UFO 10,,,,
284,261.85,300.275,UHF military,225-328.6 MHz,Military communications,261.85,,Intelsat 22,,,,
285,261.875,295.475,UHF military,225-328.6 MHz,Military communications,261.875,,UFO 11,,,,
286,261.9,316.825,UHF military,225-328.6 MHz,Military communications,261.9,,,,,,
287,261.925,295.525,UHF military,225-328.6 MHz,Military communications,261.925,,UFO 10,,,,
288,261.95,294.625,UHF military,225-328.6 MHz,Military communications,261.95,,UFO 11,,,,
289,261.975,294.0,UHF military,225-328.6 MHz,Military communications,261.975,,UFO 11,,,,
290,262.025,316.65,UHF military,225-328.6 MHz,Military communications,262.025,,Intelsat 22?,,,,
291,262.15,295.75,UHF military,225-328.6 MHz,Military communications,262.15,,FLT 8,,,,
292,262.3,295.9,UHF military,225-328.6 MHz,Military communications,262.3,,FLT 8,,,,
293,263.4,316.4,UHF military,225-328.6 MHz,Military communications,263.4,,Skynet 5B,,,,
294,263.5,315.2,UHF military,225-328.6 MHz,Military communications,263.5,,Skynet 5B,,,,
295,263.725,298.525,UHF military,225-328.6 MHz,Military communications,263.725,,UFO 11,,,,
296,263.75,317.15,UHF military,225-328.6 MHz,Military communications,263.75,,UFO 11,,,,
297,263.8,297.25,UHF military,225-328.6 MHz,Military communications,263.8,,UFO 11,,,,
298,265.325,295.1,UHF military,225-328.6 MHz,Military communications,265.325,,UFO 11,,,,
299,265.375,295.2,UHF military,225-328.6 MHz,Military communications,265.375,,UFO 11,,,,
300,265.475,295.5,UHF military,225-328.6 MHz,Military communications,265.475,,UFO 11,,,,
301,266.975,297.5,UHF military,225-328.6 MHz,Military communications,266.975,,UFO 11,,,,
302,267.575,297.625,UHF military,225-328.6 MHz,Military communications,267.575,,UFO 11,,,,
303,267.95,310.075,UHF military,225-328.6 MHz,Military communications,267.95,,Sicral 1B,,,,
304,268.0,310.5,UHF military,225-328.6 MHz,Military communications,268.0,,Sicral 1B,,,,
305,268.05,309.95,UHF military,225-328.6 MHz,Military communications,268.05,,,,,,
306,268.1,293.325,UHF military,225-328.6 MHz,Military communications,268.1,,Sicral 1B,,,,
307,268.45,297.15,UHF military,225-328.6 MHz,Military communications,268.45,,UFO 11,,,,
308,269.725,295.15,UHF military,225-328.6 MHz,Military communications,269.725,,UFO 11,,,,
